Tarih;Saat;PTF;SMF;Pozitif Dengesizlik Fiyatý (TL/MWh);Negatif Dengesizlik Fiyatý (TL/MWh);SMF Yön
1.07.2025;00:00;3.200,01;3.390,00;3.104,01;3.491,70;Enerji Açýðý
1.07.2025;01:00;3.200,01;3.390,00;3.104,01;3.491,70;Enerji Açýðý
1.07.2025;02:00;3.190,00;3.390,00;3.094,30;3.491,70;Enerji Açýðý
1.07.2025;03:00;3.200,00;3.250,00;3.104,00;3.347,50;Enerji Açýðý
1.07.2025;04:00;3.154,07;3.154,07;3.059,45;3.248,69;Enerji Açýðý
1.07.2025;05:00;3.054,71;3.054,71;2.963,07;3.146,35;Enerji Açýðý
1.07.2025;06:00;2.909,00;3.118,88;2.821,73;3.212,45;Enerji Açýðý
1.07.2025;07:00;2.527,00;3.118,88;2.451,19;3.212,45;Enerji Açýðý
1.07.2025;08:00;3.284,70;3.350,00;3.186,16;3.450,50;Enerji Açýðý
1.07.2025;09:00;3.214,84;3.348,00;3.118,39;3.448,44;Enerji Açýðý
1.07.2025;10:00;2.984,99;3.150,00;2.895,44;3.244,50;Enerji Açýðý
1.07.2025;11:00;3.079,07;3.118,88;2.986,70;3.212,45;Enerji Açýðý
1.07.2025;12:00;1.400,00;2.700,00;1.358,00;2.781,00;Enerji Açýðý
1.07.2025;13:00;2.327,99;3.118,88;2.258,15;3.212,45;Enerji Açýðý
1.07.2025;14:00;2.974,01;3.290,58;2.884,79;3.389,30;Enerji Açýðý
1.07.2025;15:00;2.874,00;3.200,00;2.787,78;3.296,00;Enerji Açýðý
1.07.2025;16:00;3.125,00;2.627,00;2.548,19;3.218,75;Enerji Fazlasý
1.07.2025;17:00;2.998,01;3.100,00;2.908,07;3.193,00;Enerji Açýðý
1.07.2025;18:00;3.150,83;3.189,00;3.056,31;3.284,67;Enerji Açýðý
1.07.2025;19:00;3.275,08;3.400,00;3.176,83;3.502,00;Enerji Açýðý
1.07.2025;20:00;3.359,99;3.400,00;3.259,19;3.502,00;Enerji Açýðý
1.07.2025;21:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
1.07.2025;22:00;3.068,00;3.068,00;2.975,96;3.160,04;Enerji Açýðý
1.07.2025;23:00;2.972,08;2.197,00;2.131,09;3.061,24;Enerji Fazlasý
2.07.2025;00:00;2.998,00;2.263,00;2.195,11;3.087,94;Enerji Fazlasý
2.07.2025;01:00;2.917,87;2.917,87;2.830,33;3.005,41;Enerji Açýðý
2.07.2025;02:00;2.650,00;2.650,00;2.570,50;2.729,50;Enerji Açýðý
2.07.2025;03:00;2.800,00;2.197,00;2.131,09;2.884,00;Enerji Fazlasý
2.07.2025;04:00;2.925,00;2.266,00;2.198,02;3.012,75;Enerji Fazlasý
2.07.2025;05:00;3.083,03;3.083,03;2.990,54;3.175,52;Enerji Açýðý
2.07.2025;06:00;2.893,93;3.000,00;2.807,11;3.090,00;Enerji Açýðý
2.07.2025;07:00;1.374,50;1.374,50;1.333,27;1.415,74;Enerji Açýðý
2.07.2025;08:00;3.200,00;3.200,00;3.104,00;3.296,00;Enerji Açýðý
2.07.2025;09:00;2.998,01;3.100,00;2.908,07;3.193,00;Enerji Açýðý
2.07.2025;10:00;1.899,99;2.747,99;1.842,99;2.830,43;Enerji Açýðý
2.07.2025;11:00;1.899,98;1.899,98;1.842,98;1.956,98;Enerji Açýðý
2.07.2025;12:00;783,27;783,27;759,77;806,77;Dengede
2.07.2025;13:00;1.899,99;1.000,00;970;1.956,99;Enerji Fazlasý
2.07.2025;14:00;2.030,01;2.948,19;1.969,11;3.036,64;Enerji Açýðý
2.07.2025;15:00;2.395,01;2.948,19;2.323,16;3.036,64;Enerji Açýðý
2.07.2025;16:00;2.926,21;1.426,21;1.383,42;3.014,00;Enerji Fazlasý
2.07.2025;17:00;2.622,23;2.632,23;2.543,56;2.711,20;Enerji Açýðý
2.07.2025;18:00;2.998,01;3.118,88;2.908,07;3.212,45;Enerji Açýðý
2.07.2025;19:00;3.360,00;3.400,00;3.259,20;3.502,00;Enerji Açýðý
2.07.2025;20:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
2.07.2025;21:00;3.399,00;3.400,00;3.297,03;3.502,00;Enerji Açýðý
2.07.2025;22:00;3.275,07;3.307,65;3.176,82;3.406,88;Enerji Açýðý
2.07.2025;23:00;2.994,01;3.023,20;2.904,19;3.113,90;Enerji Açýðý
3.07.2025;00:00;2.966,48;2.966,48;2.877,49;3.055,47;Enerji Açýðý
3.07.2025;01:00;2.931,10;3.118,88;2.843,17;3.212,45;Enerji Açýðý
3.07.2025;02:00;2.900,01;3.118,88;2.813,01;3.212,45;Enerji Açýðý
3.07.2025;03:00;3.115,08;3.144,27;3.021,63;3.238,60;Enerji Açýðý
3.07.2025;04:00;2.882,01;2.948,19;2.795,55;3.036,64;Enerji Açýðý
3.07.2025;05:00;2.510,10;3.118,88;2.434,80;3.212,45;Enerji Açýðý
3.07.2025;06:00;1.899,99;3.280,00;1.842,99;3.378,40;Enerji Açýðý
3.07.2025;07:00;689,57;3.160,00;668,88;3.254,80;Enerji Açýðý
3.07.2025;08:00;2.025,11;3.325,11;1.964,36;3.424,86;Enerji Açýðý
3.07.2025;09:00;1.899,99;3.350,00;1.842,99;3.450,50;Enerji Açýðý
3.07.2025;10:00;1.399,99;520;504,4;1.441,99;Enerji Fazlasý
3.07.2025;11:00;1.572,18;1.847,88;1.525,01;1.903,32;Enerji Açýðý
3.07.2025;12:00;1.050,00;650;630,5;1.081,50;Enerji Fazlasý
3.07.2025;13:00;1.750,01;650;630,5;1.802,51;Enerji Fazlasý
3.07.2025;14:00;1.899,98;500;485;1.956,98;Enerji Fazlasý
3.07.2025;15:00;1.899,98;650;630,5;1.956,98;Enerji Fazlasý
3.07.2025;16:00;2.783,63;3.118,88;2.700,12;3.212,45;Enerji Açýðý
3.07.2025;17:00;3.092,00;3.121,19;2.999,24;3.214,83;Enerji Açýðý
3.07.2025;18:00;2.500,01;3.098,00;2.425,01;3.190,94;Enerji Açýðý
3.07.2025;19:00;3.238,08;3.400,00;3.140,94;3.502,00;Enerji Açýðý
3.07.2025;20:00;3.350,00;3.400,00;3.249,50;3.502,00;Enerji Açýðý
3.07.2025;21:00;3.390,06;3.400,00;3.288,36;3.502,00;Enerji Açýðý
3.07.2025;22:00;3.232,75;3.360,00;3.135,77;3.460,80;Enerji Açýðý
3.07.2025;23:00;2.994,01;3.160,00;2.904,19;3.254,80;Enerji Açýðý
4.07.2025;00:00;3.098,38;3.129,26;3.005,43;3.223,14;Enerji Açýðý
4.07.2025;01:00;2.988,00;3.118,88;2.898,36;3.212,45;Enerji Açýðý
4.07.2025;02:00;2.888,39;3.049,00;2.801,74;3.140,47;Enerji Açýðý
4.07.2025;03:00;2.749,01;2.948,19;2.666,54;3.036,64;Enerji Açýðý
4.07.2025;04:00;2.898,00;2.898,00;2.811,06;2.984,94;Enerji Açýðý
4.07.2025;05:00;3.360,00;3.389,19;3.259,20;3.490,87;Enerji Açýðý
4.07.2025;06:00;2.988,00;3.118,88;2.898,36;3.212,45;Enerji Açýðý
4.07.2025;07:00;1.899,99;2.900,00;1.842,99;2.987,00;Enerji Açýðý
4.07.2025;08:00;3.231,64;3.260,83;3.134,69;3.358,65;Enerji Açýðý
4.07.2025;09:00;3.198,00;3.227,19;3.102,06;3.324,01;Enerji Açýðý
4.07.2025;10:00;2.500,00;2.948,19;2.425,00;3.036,64;Enerji Açýðý
4.07.2025;11:00;2.598,00;3.118,88;2.520,06;3.212,45;Enerji Açýðý
4.07.2025;12:00;1.400,00;1.400,00;1.358,00;1.442,00;Enerji Açýðý
4.07.2025;13:00;1.559,99;520;504,4;1.606,79;Enerji Fazlasý
4.07.2025;14:00;2.909,62;3.298,00;2.822,33;3.396,94;Enerji Açýðý
4.07.2025;15:00;2.872,00;3.118,88;2.785,84;3.212,45;Enerji Açýðý
4.07.2025;16:00;2.625,00;3.000,00;2.546,25;3.090,00;Enerji Açýðý
4.07.2025;17:00;2.749,00;2.948,19;2.666,53;3.036,64;Enerji Açýðý
4.07.2025;18:00;2.878,01;2.948,19;2.791,67;3.036,64;Enerji Açýðý
4.07.2025;19:00;3.238,39;3.290,58;3.141,24;3.389,30;Enerji Açýðý
4.07.2025;20:00;3.313,92;3.400,00;3.214,50;3.502,00;Enerji Açýðý
4.07.2025;21:00;3.400,00;3.400,00;3.298,00;3.502,00;Enerji Açýðý
4.07.2025;22:00;3.155,00;3.185,88;3.060,35;3.281,46;Enerji Açýðý
4.07.2025;23:00;3.078,00;3.107,19;2.985,66;3.200,41;Enerji Açýðý
5.07.2025;00:00;3.092,00;3.121,19;2.999,24;3.214,83;Enerji Açýðý
5.07.2025;01:00;3.038,38;3.118,88;2.947,23;3.212,45;Enerji Açýðý
5.07.2025;02:00;2.990,98;3.236,00;2.901,25;3.333,08;Enerji Açýðý
5.07.2025;03:00;3.043,17;3.290,58;2.951,87;3.389,30;Enerji Açýðý
